emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
user experience researcher,3,GA,MORTGAGE,250000,Source Verified,15.57,NA,,NA,0,NA,1996,1,27,22,262391,149728,0,0,NA,0,0,6,4,1,22,0,0,7,117700,19,16,8,0,100,0,0,debt_consolidation,individual,16000,36,10.42,519.44,B,B3,Jan-18,Current,whole,Cash,14064.14,2587.94,1935.86,652.08,0
office manager,10,WI,RENT,83740,Not Verified,23.88,NA,,NA,0,NA,2006,17,35,17,93332,61662,0,0,NA,0,0,3,8,0,17,0,0,1,12400,21,14,7,1,100,0,0,car,individual,10000,36,16.01,351.62,C,C5,Feb-18,Current,whole,Cash,9080.66,1416.83,919.34,497.49,0
marketing coordinator,9,FL,OWN,60000,Not Verified,27.06,NA,,NA,1,17,2006,1,22,13,107785,27723,0,0,NA,0,0,3,3,0,13,0,0,6,43400,15,10,8,0,95.5,0,0,home_improvement,individual,18000,36,6.72,553.49,A,A3,Feb-18,Current,whole,Cash,16173.97,2207.24,1826.03,381.21,0
chief cyber operations,10,TX,MORTGAGE,107200,Not Verified,31.52,NA,,NA,0,27,2005,3,36,11,448510,127493,0,0,72,0,0,4,12,1,11,0,0,3,10200,14,6,5,3,83.3,0,0,debt_consolidation,individual,25000,60,20,662.35,D,D4,Jan-18,Current,whole,Cash,23729.95,3283.97,1270.05,2013.92,0
sales,10,VA,MORTGAGE,100000,Not Verified,11.5,NA,,NA,0,64,1979,0,23,13,220804,39047,0,0,NA,0,0,2,7,14,13,0,0,2,9500,16,10,6,3,95.7,0,0,medical,individual,2000,36,14.07,68.43,C,C3,Mar-18,Current,whole,Cash,1863.47,203.73,136.53,67.2,0
counselor,1,AZ,RENT,42000,Verified,27.2,NA,,NA,0,NA,2011,2,23,21,120794,116815,0,0,NA,0,0,15,3,3,21,0,0,4,12900,8,6,6,0,100,0,0,debt_consolidation,individual,16000,60,29.69,514.62,F,F2,Mar-18,Current,whole,Cash,15634.85,1491.08,365.15,1125.93,0
reservation sales representative,3,TN,MORTGAGE,80000,Source Verified,24.08,NA,,NA,0,NA,2006,0,32,22,260408,72737,0,0,NA,0,0,15,4,15,22,0,0,4,35900,7,6,5,1,100,0,0,credit_card,individual,16000,60,15.05,381.06,C,C4,Jan-18,Current,whole,Cash,15075.12,1871.86,924.88,946.98,0
teacher/coach,10,AL,MORTGAGE,60000,Source Verified,31.5,120000,Source Verified,27.2,0,39,1994,9,18,11,319110,58875,0,0,NA,0,0,5,5,3,11,0,0,1,2200,6,5,4,5,82.4,0,0,debt_consolidation,joint,16000,36,18.06,578.93,D,D2,Mar-18,Current,whole,Cash,14970.27,1720.74,1029.73,691.01,0
ltl truck driver,3,CA,OWN,75000,Not Verified,24.93,NA,,NA,1,21,2005,1,28,13,99830,28029,0,0,21,0,0,2,5,11,13,0,0,2,25100,23,10,6,0,92.9,0,0,debt_consolidation,individual,20000,36,7.97,626.46,A,A5,Jan-18,Current,whole,Cash,17498.86,3114.59,2501.14,613.45,0
,NA,FL,OWN,40012,Verified,17.43,NA,,NA,0,NA,1990,1,17,6,52646,31685,0,0,NA,0,0,1,2,6,6,0,0,4,25700,14,5,5,0,100,0,0,debt_consolidation,individual,10000,36,7.34,310.33,A,A4,Mar-18,Current,whole,Cash,8994.16,1208.7,1005.84,202.86,0
sales representative,7,NY,RENT,50000,Not Verified,3.62,NA,,NA,0,NA,2011,0,5,3,7800,4445,0,0,NA,0,0,0,0,17,3,0,0,3,7800,4,3,3,0,100,0,0,debt_consolidation,individual,10000,36,20.39,373.63,D,D4,Feb-18,Current,fractional,Cash,3154.96,7219.56,6845.04,374.52,0
rural delivery ,10,CO,MORTGAGE,48000,Not Verified,17.83,NA,,NA,0,NA,1999,0,16,7,74725,41541,0,0,NA,0,0,2,2,NA,7,0,0,4,28500,5,5,4,1,100,0,0,debt_consolidation,individual,13500,36,6.72,415.12,A,A3,Mar-18,Current,whole,Cash,12475.73,1235.28,1024.27,211.01,0
clinical care manager,2,LA,MORTGAGE,54500,Source Verified,8.7,NA,,NA,0,28,1996,2,24,17,236382,112441,1,0,28,0,0,1,13,0,17,0,0,8,37800,16,15,9,1,75,0,0,credit_card,individual,22000,36,9.43,704.01,B,B1,Mar-18,Current,fractional,DirectPay,20933.57,1396.49,1066.43,330.06,0
financial officer,2,PA,MORTGAGE,26000,Verified,21.93,NA,,NA,1,8,2001,0,16,11,57700,10268,0,0,NA,0,0,1,1,22,11,0,0,3,13900,13,9,6,1,81.3,0,0,debt_consolidation,individual,10000,36,17.09,356.98,D,D1,Jan-18,Current,fractional,Cash,8896.19,1765.91,1103.81,662.1,0
service drive manager,10,AZ,MORTGAGE,92000,Source Verified,26.14,NA,,NA,0,NA,2005,1,31,13,356329,110838,0,0,NA,0,0,3,7,10,13,0,0,4,52900,16,9,6,3,100,0,0,credit_card,individual,35000,60,17.47,878.71,D,D1,Mar-18,Current,whole,Cash,34256.29,1723.45,743.71,979.74,0
carpenter,10,CA,MORTGAGE,100000,Source Verified,6.18,NA,,NA,0,60,2005,2,20,7,397221,32720,0,0,60,0,0,1,2,1,7,0,0,0,5000,14,5,0,3,100,0,0,other,individual,24000,60,10.9,520.63,B,B4,Mar-18,Current,whole,Cash,23083.84,1547.36,916.16,631.2,0
motor vehicle operator,10,KS,OWN,67500,Source Verified,9.92,142891,Source Verified,6.89,0,NA,2003,5,25,5,99557,25512,0,0,NA,0,0,1,5,6,5,0,0,0,11000,12,3,1,1,100,0,0,debt_consolidation,joint,10000,60,9.43,209.68,B,B1,Mar-18,Current,whole,Cash,9603.61,650,396.39,253.61,0
,NA,IL,OWN,72000,Not Verified,10.53,NA,,NA,3,12,1999,6,17,10,101084,29416,0,0,NA,0,0,1,4,4,10,0,0,5,11600,12,8,7,2,70.6,0,0,debt_consolidation,individual,27000,36,12.61,904.68,C,C1,Mar-18,Current,whole,Cash,25117.49,2695.12,1882.51,812.61,0
fleet manager,6,CA,RENT,80000,Not Verified,19.97,NA,,NA,0,NA,2001,0,12,8,53150,26013,0,0,NA,0,0,1,0,NA,8,0,0,4,28500,11,7,5,0,100,0,0,credit_card,individual,30000,60,11.99,667.19,B,B5,Feb-18,Current,whole,Cash,28508.06,2678.02,1491.94,1186.08,0
,NA,CA,OWN,45001,Not Verified,11.52,NA,,NA,0,NA,2011,1,9,3,15000,13186,0,0,NA,0,0,1,3,6,3,0,0,0,0,7,2,2,0,100,0,0,medical,individual,18000,36,20.39,672.53,D,D4,Mar-18,Current,whole,Cash,16881.16,1997.2,1118.84,878.36,0
vice president emergency services ,4,AR,MORTGAGE,106000,Not Verified,18.67,NA,,NA,0,52,1998,3,52,23,344324,109982,0,0,52,0,10266,2,10,3,23,0,0,3,24300,36,20,8,5,92.3,0,0,home_improvement,individual,5500,36,10.9,179.81,B,B4,Mar-18,Current,whole,Cash,5106.9,536.1,393.1,143,0
sr project manager,5,MN,MORTGAGE,75000,Not Verified,1.89,NA,,NA,0,39,2001,0,20,5,188550,3751,0,0,NA,0,0,0,1,21,5,0,0,1,26500,15,4,1,2,95,0,0,debt_consolidation,individual,3500,36,7.96,109.62,A,A5,Feb-18,Current,whole,Cash,1397.3,2172.38,2102.7,69.68,0
sr manager operations support,0,CO,OWN,75000,Not Verified,8.83,NA,,NA,0,NA,2005,2,13,9,344696,33162,0,0,NA,0,0,1,2,3,9,0,0,2,12000,7,7,3,2,100,0,0,debt_consolidation,individual,4200,36,10.91,137.33,B,B4,Jan-18,Current,fractional,Cash,3695.18,684.1,504.82,179.28,0
legal assistant/paralegal,2,TN,RENT,54000,Not Verified,24.76,NA,,NA,0,NA,2001,5,25,12,89755,39279,0,0,NA,0,0,3,4,2,12,0,0,1,34200,13,8,3,0,100,0,0,other,individual,18000,60,10.9,390.47,B,B4,Mar-18,Current,whole,Cash,17312.89,1176.86,687.11,489.75,0
lab technician ,9,NC,MORTGAGE,43000,Source Verified,28.38,83000,Source Verified,20.02,1,22,1996,0,25,8,70121,33586,0,0,22,0,0,1,3,NA,8,0,0,3,49100,15,7,3,4,88,0,0,debt_consolidation,joint,30000,60,12.61,676.62,C,C1,Mar-18,Current,whole,Cash,28904.46,1987.83,1095.54,892.29,0
driller,10,FL,MORTGAGE,165000,Not Verified,7.16,NA,,NA,1,20,2007,0,30,12,186100,41440,0,0,NA,0,0,1,6,13,12,0,0,4,68400,19,10,5,1,96.7,0,0,debt_consolidation,individual,25200,60,7.34,503.05,A,A4,Mar-18,Current,whole,Cash,24146.85,1498.87,1053.15,445.72,0
,NA,MI,MORTGAGE,70000,Not Verified,3.91,NA,,NA,0,NA,1997,0,21,8,194300,15487,0,0,NA,0,0,0,1,18,8,0,0,5,80300,16,7,5,2,100,0,0,major_purchase,individual,16000,36,5.31,481.77,A,A1,Mar-18,Current,whole,Cash,14761.63,1475.99,1238.37,237.62,0
asst manager ,1,CT,MORTGAGE,36000,Verified,41.93,52200,Verified,34.9,0,70,1998,1,18,12,202120,44082,0,0,NA,0,0,2,4,12,12,0,0,4,39500,11,8,8,2,88.9,0,0,debt_consolidation,joint,6050,36,26.3,244.73,E,E5,Jan-18,Current,fractional,Cash,5464.21,1214.81,585.79,629.02,0
process sample lab tech,10,AL,MORTGAGE,50000,Source Verified,10.54,NA,,NA,0,51,2001,0,17,4,198113,24497,0,0,NA,0,0,1,2,NA,4,0,0,0,0,6,2,1,2,82.4,0,0,other,individual,6000,36,7.97,187.94,A,A5,Jan-18,Current,whole,Cash,5249.65,937.04,750.35,186.69,0
sr training specialist,1,NC,MORTGAGE,118000,Not Verified,10.59,NA,,NA,1,12,1996,0,38,16,397102,41066,0,0,NA,0,0,1,3,20,16,0,0,6,62600,20,12,8,4,94.7,0,0,credit_card,individual,20000,60,9.93,424.26,B,B2,Jan-18,Current,whole,Cash,18952.04,1708.08,1047.96,660.12,0
merchandise processor,10,OH,OWN,36000,Not Verified,18.17,NA,,NA,0,NA,1990,0,25,21,87905,16483,0,0,NA,0,0,1,11,20,21,0,0,10,61200,24,20,12,0,100,0,0,credit_card,individual,6000,36,6.08,182.75,A,A2,Feb-18,Current,whole,Cash,5385.95,725.93,614.05,111.88,0
ramp service employee,5,NV,MORTGAGE,45000,Source Verified,20.32,NA,,NA,0,NA,2004,2,17,11,52907,26868,0,0,NA,0,0,4,7,6,11,0,0,4,12500,11,7,5,0,100,0,0,debt_consolidation,individual,5000,36,13.59,169.9,C,C2,Feb-18,Current,whole,Cash,4539.14,675.82,460.86,214.96,0
carpenter,10,WA,MORTGAGE,75000,Verified,13.76,NA,,NA,0,25,2000,6,24,7,508165,26600,0,0,NA,0,0,1,7,4,7,0,0,3,25600,14,4,3,6,95.8,0,0,debt_consolidation,individual,16000,36,17.09,571.17,D,D1,Mar-18,Current,whole,Cash,14955.35,1698.32,1044.65,653.67,0
office manager`,10,NJ,RENT,65000,Source Verified,26.43,NA,,NA,0,NA,1985,0,22,17,64750,34139,0,0,NA,0,0,1,3,20,17,0,0,8,32600,18,16,13,0,100,0,0,medical,individual,30000,36,21.85,1143.39,D,D5,Mar-18,In Grace Period,whole,Cash,28794.85,2341.41,1205.15,1136.26,0
,NA,IN,RENT,32800,Not Verified,29.09,NA,,NA,0,NA,2002,1,23,12,61741,26355,0,1,NA,0,0,3,4,7,12,0,0,1,7000,17,9,7,1,100,0,1,debt_consolidation,individual,3800,36,7.35,117.95,A,A4,Feb-18,Fully Paid,whole,Cash,0,3888.056465,3800,88.06,0
pricing,7,IL,MORTGAGE,41000,Verified,72.89,107000,Verified,28.39,0,NA,2006,15,36,14,349934,73036,0,0,NA,0,0,5,7,0,14,0,0,2,12600,9,8,2,4,100,0,0,other,joint,15000,36,7.96,469.77,A,A5,Mar-18,Current,whole,Cash,14257,926.27,743,183.27,0
it consultant,4,MA,MORTGAGE,70000,Not Verified,17.28,NA,,NA,0,NA,1988,0,34,17,240724,40285,0,0,NA,0,0,3,4,18,17,0,0,4,19600,21,13,8,2,100,0,0,debt_consolidation,individual,10000,36,7.35,310.38,A,A4,Jan-18,Current,whole,Cash,8739,1547.82,1261,286.82,0
owner,2,CA,MORTGAGE,90000,Verified,30.31,NA,,NA,2,1,1987,0,16,9,478064,87422,0,0,NA,1,0,3,1,19,8,NA,1,2,14000,10,5,4,2,81,0,0,other,individual,18000,60,16.02,437.92,C,C5,Jan-18,Current,whole,Cash,16986.44,2173.58,1013.56,1160.02,0
,NA,CA,MORTGAGE,70000,Verified,39.43,130000,Verified,23.47,0,NA,1987,1,21,18,405432,107379,0,0,NA,0,0,1,3,12,18,0,0,14,55400,17,16,14,1,100,0,0,credit_card,joint,16000,60,17.09,398.42,D,D1,Jan-18,Fully Paid,whole,Cash,0,16272.54716,16000,272.55,0
,NA,SC,MORTGAGE,118000,Verified,16.08,NA,,NA,0,51,1977,2,33,18,241477,50209,0,0,NA,0,0,0,7,11,18,0,0,4,45000,25,16,11,3,97,0,0,credit_card,individual,40000,60,11.98,889.38,B,B5,Feb-18,Current,whole,Cash,38010.26,3530.9,1989.74,1541.16,0
data scientist/ developer ,1,MD,MORTGAGE,122000,Source Verified,24.59,NA,,NA,0,24,2005,5,30,15,540105,143742,0,0,24,0,51,4,5,11,15,0,0,7,86000,12,10,7,1,96.7,0,0,small_business,individual,28000,60,15.04,666.71,C,C4,Mar-18,Fully Paid,whole,Cash,0,28593.28967,28000,593.29,0
er receptionist,2,ID,MORTGAGE,74400,Source Verified,33.19,157740,Source Verified,18.05,1,23,2004,6,45,20,487267,146230,0,1,23,0,0,8,7,4,20,0,0,2,10400,20,11,5,5,97.7,0,1,home_improvement,joint,20000,36,14.08,684.33,C,C3,Mar-18,Current,fractional,Cash,18635.65,2021.7,1364.35,657.35,0
dispatcher,5,NV,MORTGAGE,30000,Not Verified,62.48,82000,Not Verified,24.41,1,17,1983,3,33,17,190832,57345,0,0,57,0,0,2,4,1,17,0,0,2,19700,27,14,6,3,69.7,0,0,home_improvement,joint,32000,36,9.44,1024.16,B,B1,Jan-18,Current,fractional,Cash,28873.64,4079.86,3126.36,953.5,0
office manager,2,MA,RENT,32000,Verified,27.19,82000,Verified,17.2,0,NA,2012,0,6,5,33184,18855,0,0,NA,0,0,2,1,16,5,0,0,2,6300,4,3,2,0,100,0,0,debt_consolidation,joint,17000,60,16.02,413.59,C,C5,Jan-18,Current,whole,Cash,16041.55,2052.82,958.45,1094.37,0
sr appraiser,10,CA,RENT,130000,Source Verified,9.55,NA,,NA,0,NA,2004,1,15,9,60654,30322,0,2,NA,0,300,2,6,5,9,0,0,2,16800,10,7,3,0,100,2,0,debt_consolidation,individual,19000,60,11.98,422.46,B,B5,Feb-18,Current,whole,Cash,18294.68,1254.73,705.32,549.41,0
sales,5,TX,OWN,27000,Verified,9.47,27000,Not Verified,27.69,0,NA,2012,1,20,13,44600,13764,0,0,NA,0,0,0,3,11,13,0,0,4,23400,20,13,6,0,100,0,0,other,joint,12850,36,11.98,426.69,B,B5,Mar-18,Current,whole,Cash,12250.21,844.83,599.79,245.04,0
police officer,9,TX,MORTGAGE,77500,Verified,20.33,NA,,NA,0,NA,2005,2,32,12,390156,52534,0,0,NA,0,0,3,1,0,12,0,0,2,49800,14,8,2,4,100,0,0,other,individual,15000,36,6.08,456.88,A,A2,Jan-18,Current,whole,Cash,13076.2,2279.33,1923.8,355.53,0
,NA,WV,MORTGAGE,110000,Not Verified,19.4,NA,,NA,1,16,2002,3,49,17,141508,33018,0,0,60,0,4800,3,1,0,17,0,0,6,15200,40,13,12,2,91.8,0,0,credit_card,individual,8000,36,9.93,257.88,B,B2,Jan-18,Current,whole,Cash,7025.61,1284.99,974.39,310.6,0
office manager,10,CA,RENT,83600,Verified,23.94,NA,,NA,0,NA,2006,4,58,28,429662,90915,0,0,NA,0,0,14,8,6,28,0,0,4,39500,30,13,6,2,100,0,0,debt_consolidation,individual,14400,60,16.01,350.26,C,C5,Mar-18,Current,whole,Cash,13919.22,1037.97,480.78,557.19,0
national strategic account manager,3,NC,MORTGAGE,210000,Source Verified,8.75,NA,,NA,3,12,2003,1,16,13,355586,39189,0,0,NA,0,0,1,3,5,13,0,0,7,13500,11,10,7,1,81.3,0,0,home_improvement,individual,32000,36,14.07,1094.78,C,C3,Mar-18,Current,whole,Cash,30552.4,2164.55,1447.6,716.95,0
clerk,10,GA,MORTGAGE,57626,Not Verified,18.34,83582,Not Verified,21.38,0,54,2001,1,28,8,94851,27368,0,0,67,0,0,2,3,12,8,0,0,0,0,8,5,3,3,92.9,0,0,debt_consolidation,joint,25600,36,13.59,869.86,C,C2,Feb-18,Current,fractional,Cash,23240.53,3460.11,2359.47,1100.64,0
recruiter,10,PA,MORTGAGE,72000,Not Verified,24.86,NA,,NA,0,NA,2009,0,15,8,261391,65409,0,0,NA,0,0,2,3,17,8,0,0,2,41000,4,4,2,2,100,0,0,debt_consolidation,individual,40000,36,9.92,1289.19,B,B2,Mar-18,Current,fractional,Cash,38075.03,2633.49,1924.97,708.52,0
concierge,10,NJ,MORTGAGE,92000,Not Verified,5.54,NA,,NA,1,7,2006,0,13,8,153600,11032,0,0,76,0,0,0,1,NA,8,0,0,5,10400,11,7,7,2,69.2,0,0,debt_consolidation,individual,8000,36,11.98,265.64,B,B5,Feb-18,Current,whole,Cash,6971.64,1326.98,1028.36,298.62,0
,NA,OK,MORTGAGE,0,Not Verified,NA,150000,Not Verified,13.81,1,13,2003,1,20,9,41852,19489,0,0,13,0,0,3,2,8,9,0,0,1,600,16,6,2,0,90,0,0,home_improvement,joint,24000,60,17.47,602.55,D,D1,Mar-18,Current,fractional,Cash,23229.44,1761.06,770.56,990.5,0
loss recovery specialist ,7,CA,RENT,103000,Source Verified,6.58,NA,,NA,0,71,1987,3,37,8,124900,27381,0,0,NA,0,0,0,5,3,8,0,0,3,64700,26,8,5,0,97.2,0,0,other,individual,30000,36,7.35,931.13,A,A4,Feb-18,Fully Paid,whole,Cash,0,30647.1254,30000,647.13,0
self employed,0,RI,OWN,100000,Not Verified,2,NA,,NA,1,9,1994,0,11,8,114762,16375,1,0,9,0,0,1,3,14,8,0,0,2,9400,8,6,5,1,90.9,0,0,debt_consolidation,individual,16000,36,15.05,555.04,C,C4,Jan-18,Current,whole,Cash,14183.13,2748.44,1816.87,931.57,0
supervisor,3,IN,RENT,47757,Verified,25.11,NA,,NA,0,NA,2010,0,7,6,39482,36228,0,0,NA,0,0,0,1,NA,6,NA,0,4,37340,6,5,4,0,100,0,0,debt_consolidation,individual,23000,60,13.58,530.18,C,C2,Mar-18,Current,whole,Cash,22181.11,1573.19,818.89,754.3,0
welder,4,KY,OWN,38000,Verified,0.79,NA,,NA,0,NA,2003,1,7,3,79175,1564,0,0,NA,0,0,0,2,2,3,0,0,1,3000,4,2,1,1,100,0,0,other,individual,27000,60,14.08,629.37,C,C3,Jan-18,Fully Paid,whole,Cash,0,27033.5808,27000,33.58,0
realtor,3,AR,MORTGAGE,130000,Not Verified,8.22,NA,,NA,0,NA,2007,0,18,7,57555,35949,0,0,NA,0,0,1,3,16,7,0,0,4,31500,11,6,4,0,100,0,0,debt_consolidation,individual,12000,36,18.06,434.2,D,D2,Jan-18,Current,fractional,Cash,10693.25,2158.96,1306.75,852.21,0
recruiter,10,AK,MORTGAGE,78000,Source Verified,30.75,129000,Source Verified,25.3,0,NA,2003,1,28,14,443959,73454,0,0,NA,0,0,3,1,1,14,0,0,5,50700,12,10,7,3,100,0,0,credit_card,joint,38500,36,11.99,1278.57,B,B5,Jan-18,Current,whole,Cash,34870.48,5204.04,3629.52,1574.52,0
program director,3,NC,RENT,140000,Not Verified,21.85,140000,,25.12,0,39,2004,4,47,30,123273,83527,0,0,NA,0,249,7,11,8,30,0,0,12,19800,29,23,19,2,91.5,0,0,debt_consolidation,joint,30000,36,18.06,1085.48,D,D2,Feb-18,Current,whole,DirectPay,27406.26,4161.32,2593.74,1567.58,0
nursing supervisor ,1,AZ,RENT,66000,Verified,2.44,NA,,NA,0,NA,2000,3,30,8,87000,7699,0,0,NA,0,0,0,4,1,8,0,0,4,81200,20,8,4,0,100,0,0,major_purchase,individual,21000,36,7.35,651.79,A,A4,Jan-18,Current,whole,Cash,18351.93,3288.97,2648.07,640.9,0
scheduling,5,OH,MORTGAGE,26000,Source Verified,18.19,NA,,NA,1,21,2004,4,28,21,46579,27078,0,0,21,0,0,8,4,3,21,0,0,1,11600,17,13,3,0,71.4,0,0,credit_card,individual,5600,36,10.91,183.1,B,B4,Feb-18,Current,whole,Cash,5064,723.91,536,187.91,0
senior insurance sales rep,6,FL,MORTGAGE,110000,Not Verified,18.61,NA,,NA,0,NA,2002,2,27,12,81229,36081,0,1,NA,0,0,3,3,3,12,0,0,3,6500,20,9,7,0,100,0,1,debt_consolidation,individual,10000,36,12.62,335.12,C,C1,Jan-18,Current,whole,Cash,8825.79,1689.63,1174.21,515.42,0
human resources representative ii,1,TN,MORTGAGE,62000,Not Verified,9.16,NA,,NA,0,25,2006,1,47,25,235383,150759,0,0,NA,0,198,13,6,4,25,0,0,3,12700,19,11,6,3,95.6,0,0,home_improvement,individual,3000,36,7.96,93.96,A,A5,Mar-18,Charged Off,fractional,Cash,0,0,0,0,0
plumber,10,NY,MORTGAGE,60000,Not Verified,26.2,150000,,23.75,0,NA,2004,0,24,8,92075,53668,0,0,NA,0,0,3,2,13,8,0,0,3,32800,10,5,3,2,100,0,0,debt_consolidation,joint,14000,36,7.34,434.46,A,A4,Mar-18,Current,whole,DirectPay,12947.11,1297.67,1052.89,244.78,0
diver,4,PA,RENT,50000,Source Verified,14.4,NA,,NA,3,18,2006,3,21,5,33269,24871,0,0,22,0,0,4,3,3,5,0,0,1,1000,8,1,1,0,52.4,0,0,major_purchase,individual,3000,36,11.99,99.63,B,B5,Jan-18,Current,whole,Cash,2644.7,496.15,355.3,140.85,0
design drafter,1,TX,MORTGAGE,70000,Verified,33.55,NA,,NA,0,NA,2005,2,51,24,304002,48386,0,0,NA,0,0,4,7,6,24,0,0,10,83100,31,19,15,3,100,0,0,debt_consolidation,individual,28950,60,11.98,643.69,B,B5,Mar-18,Fully Paid,whole,Cash,0,29579.92103,28950,629.92,0
general manager ,2,NJ,RENT,60000,Source Verified,2.72,NA,,NA,0,52,2012,16,13,10,4500,1106,0,0,54,0,0,0,10,2,10,0,0,4,2200,12,10,5,0,84.6,0,0,medical,individual,15000,36,19.03,550.07,D,D3,Jan-18,Current,whole,Cash,13388.72,2718.63,1611.28,1107.35,0
service,3,SC,OWN,33000,Not Verified,22.16,NA,,NA,0,NA,2008,1,25,20,112983,61946,0,0,NA,0,0,7,8,4,20,0,0,8,59000,17,13,9,0,100,0,0,debt_consolidation,individual,10000,36,9.93,322.35,B,B2,Feb-18,Current,whole,Cash,9029.64,1283.88,970.36,313.52,0
it specialist,3,VA,OWN,116000,Not Verified,19.63,NA,,NA,0,NA,2006,1,24,10,127876,107507,0,0,NA,0,0,3,5,3,10,0,0,2,26200,13,7,4,0,100,0,0,debt_consolidation,individual,10500,36,12.62,351.87,C,C1,Feb-18,Current,fractional,Cash,9519.31,1392.76,980.69,412.07,0
department lead,10,TX,RENT,38168,Source Verified,23.74,NA,,NA,0,NA,2007,11,12,8,56174,29299,0,0,NA,0,0,2,6,1,8,0,0,3,25600,6,6,4,0,100,0,0,debt_consolidation,individual,5900,36,11.98,195.91,B,B5,Feb-18,Current,whole,Cash,5343.71,779.71,556.29,223.42,0
teacher,10,ND,OWN,80000,Verified,24.17,NA,,NA,0,NA,1987,2,28,12,112700,70187,0,0,NA,0,0,4,5,0,12,0,0,7,51700,15,8,8,2,100,0,0,debt_consolidation,individual,25000,60,30.79,821.01,G,G1,Feb-18,Current,whole,Cash,24253.68,3241.28,746.32,2494.96,0
director of partner business,2,NJ,MORTGAGE,65000,Verified,3.67,NA,,NA,3,10,1996,1,15,11,339000,3857,0,0,10,0,0,0,5,2,11,0,0,3,3000,11,10,8,2,73.3,0,0,other,individual,5600,36,15.05,194.27,C,C4,Jan-18,Current,fractional,Cash,4964.06,961.99,635.94,326.05,0
director of music,10,KY,RENT,89000,Verified,21.48,NA,,NA,0,NA,2011,3,22,11,80826,65733,0,0,NA,0,0,3,12,2,11,0,0,5,19900,10,8,5,0,100,0,0,debt_consolidation,individual,30000,36,16.01,1054.86,C,C5,Mar-18,Current,fractional,Cash,28009.85,3137.9,1990.15,1147.75,0
finace ,8,OH,MORTGAGE,91000,Source Verified,19.69,134000,Not Verified,22.44,0,NA,2005,2,23,15,97955,52757,0,1,NA,0,0,2,6,0,15,0,0,7,38300,18,13,12,1,100,0,1,credit_card,joint,12500,36,10.42,405.81,B,B3,Jan-18,Current,whole,Cash,11295.35,1616,1204.65,411.35,0
lockbox specialist iii,4,OH,MORTGAGE,35000,Source Verified,32.56,80000,Source Verified,28.99,0,60,1999,3,23,9,123905,26030,0,0,NA,0,0,2,6,2,9,0,0,2,9600,13,6,3,1,95.7,0,0,debt_consolidation,joint,30000,36,20.39,1120.88,D,D4,Feb-18,Current,whole,Cash,28135.28,3328.66,1864.72,1463.94,0
empowerment leader,10,IL,MORTGAGE,180000,Source Verified,9.31,NA,,NA,0,54,2006,2,37,21,394641,99831,0,0,61,0,1399,4,7,2,21,0,0,8,88400,16,14,10,2,85.3,0,0,credit_card,individual,8500,36,9.92,273.96,B,B2,Mar-18,Current,whole,Cash,7883.85,824.23,616.15,208.08,0
revit coordinator / cad technician,10,CA,RENT,65000,Not Verified,10.67,NA,,NA,2,11,2005,4,21,11,62609,35646,1,0,11,0,0,2,8,2,11,0,0,2,9500,10,9,4,0,81,0,0,home_improvement,individual,6000,36,18.06,217.1,D,D2,Feb-18,Current,fractional,Cash,5481.23,862.38,518.77,343.61,0
research engineer,1,NY,MORTGAGE,180000,Source Verified,0.17,NA,,NA,1,23,2012,7,11,6,474200,415,0,0,NA,0,0,0,2,2,6,0,0,1,52000,10,5,1,1,90.9,0,0,major_purchase,individual,40000,36,7.35,1241.5,A,A4,Feb-18,Fully Paid,whole,Cash,0,40466.02754,40000,466.03,0
project engineer,5,LA,MORTGAGE,100000,Source Verified,24.91,NA,,NA,0,27,2006,1,34,16,482807,102992,0,0,NA,0,0,6,4,12,16,0,0,4,19700,10,9,7,4,94.1,0,0,other,individual,20000,36,9.44,640.1,B,B1,Jan-18,Current,fractional,Cash,17547.89,3190.01,2452.11,737.9,0
department administrator,7,CA,RENT,95000,Source Verified,10.94,NA,,NA,1,12,1997,2,28,11,39182,16119,0,0,54,0,0,1,2,4,11,0,0,5,10700,22,10,8,3,89.3,0,0,credit_card,individual,19000,36,18.06,687.47,D,D2,Feb-18,Current,fractional,Cash,17357.3,2730.82,1642.7,1088.12,0
server,3,CA,RENT,35000,Source Verified,11.8,NA,,NA,0,52,2001,0,11,9,19150,17439,0,0,52,0,0,4,6,NA,9,0,0,2,8200,7,5,4,0,90.9,0,0,moving,individual,3500,36,14.08,119.76,C,C3,Jan-18,Current,whole,Cash,3097.19,596.06,402.81,193.25,0
